Label;Location;Site;Plot_replicate;Meshbag_replicate;Treatment;ITEX;NPKD;Pot+sand_wet_(g);Pot+sand_dry_(g);wet_(g);proportion_water_in_sample_(%);sample_weight_wet_(g);sample_weight_dry_(g);Hyphae_uns;Hyphae_sept;Total_hyphae;Count_strikes;Hyphal_length_uns;Hyphal_length_sept;Total_hyphal_length;lab_analyses;Meshbag_collected;Extra
Ad-ad-OTC-4-2;Andorra;And1;2;B;OTC;YES;NO;54,16;51,96;2,2;0,04;11,09;10,64;206;65;271;25;770,47;243,11;1013,58;19/sep;21/jul;
Aw-us-cont-1;Atqasuk;Atq1;1;B;Control;YES;NO;45,87;42,57;3,3;0,07;10,66;9,89;0;0;0;25;0;0;0;19/nov;;
Aw-us-cont-1;Atqasuk;Atq1;1;A;Control;YES;NO;45,87;42,57;3,3;0,07;10,67;9,9;33;17;50;25;132,61;68,32;200,93;19/nov;;
Aw-us-cont-13;Atqasuk;Atq1;1;B;Control;YES;NO;49,24;46,35;2,89;0,06;9,11;8,58;3;8;11;25;13,92;37,12;51,05;2/dec;;
Aw-us-cont-13;Atqasuk;Atq1;1;A;Control;YES;NO;49,24;46,35;2,89;0,06;10,31;9,7;9;17;26;25;36,9;69,71;106,61;2/dec;;
Aw-us-cont-17;Atqasuk;Atq1;1;A;Control;YES;NO;50,84;48,71;2,13;0,04;11,37;10,89;24;24;48;25;87,67;87,67;175,34;19/nov;;
Aw-us-cont-17;Atqasuk;Atq1;1;B;Control;YES;NO;50,84;48,71;2,13;0,04;11,41;10,93;27;11;38;25;98,28;40,04;138,32;19/nov;;
Aw-us-cont-9;Atqasuk;Atq1;1;B;Control;YES;NO;53,17;51,3;1,87;0,04;11,18;10,79;4;8;12;25;14,76;29,51;44,27;19/nov;;
Aw-us-cont-9;Atqasuk;Atq1;1;A;Control;YES;NO;53,17;51,3;1,87;0,04;10,62;10,25;21;5;26;25;81,56;19,42;100,97;19/nov;;
Aw-us-OTC-1;Atqasuk;Atq1;1;B;OTC;YES;NO;15,82;14,56;1,26;0,08;11,1;10,22;40;41;81;25;155,81;159,7;315,51;19/nov;;Broken meshbag
Aw-us-OTC-1;Atqasuk;Atq1;1;A;OTC;YES;NO;15,82;14,56;1,26;0,08;11,34;10,44;49;45;94;25;186,83;171,58;358,4;19/nov;;Broken meshbag
Aw-us-OTC-15;Atqasuk;Atq1;1;B;OTC;YES;NO;50,06;47,24;2,82;0,06;10,76;10,15;16;45;61;25;62,7;176,36;239,06;14/nov;;
Aw-us-OTC-15;Atqasuk;Atq1;1;A;OTC;YES;NO;50,06;47,24;2,82;0,06;11,45;10,8;31;22;53;25;114,17;81,02;195,19;14/nov;;
Aw-us-OTC-5;Atqasuk;Atq1;1;B;OTC;YES;NO;30,84;26,88;3,96;0,13;9,26;8,07;0;6;6;25;0;29,58;29,58;2/dec;;Broken meshbag
Aw-us-OTC-5;Atqasuk;Atq1;1;A;OTC;YES;NO;30,84;26,88;3,96;0,13;10,46;9,12;10;15;25;25;43,65;65,47;109,12;2/dec;;Broken meshbag
Aw-us-OTC-9;Atqasuk;Atq1;1;B;OTC;YES;NO;32,56;31,2;1,36;0,04;11,05;10,59;21;16;37;25;78,92;60,13;139,05;19/nov;;Broken meshbag
Aw-us-OTC-9;Atqasuk;Atq1;1;A;OTC;YES;NO;32,56;31,2;1,36;0,04;11,03;10,57;22;17;39;25;82,83;64,01;146,84;19/nov;;Broken meshbag
Bl-de-b1p01;Badlauchstaedt;Bad1;1;B;Fertilisationxdrought;NO;YES;61,72;57,24;4,48;0,07;10,9;10,11;61;39;100;50;120,06;76,76;196,83;12/aug;1/aug;
Bl-de-b1p01;Badlauchstaedt;Bad1;1;A;Fertilisationxdrought;NO;YES;61,72;57,24;4,48;0,07;10,74;9,96;142;73;215;50;283,66;145,82;429,48;12/aug;1/aug;
Bl-de-b1p02;Badlauchstaedt;Bad1;1;B;Zinfrastructurecontrol;NO;NO;53,86;51,86;2;0,04;10,44;10,05;218;22;240;50;431,49;43,54;475,04;13/aug;1/aug;
Bl-de-b1p02;Badlauchstaedt;Bad1;1;A;Zinfrastructurecontrol;NO;NO;53,86;51,86;2;0,04;11,22;10,8;297;13;310;50;546,99;23,94;570,93;13/aug;1/aug;
Bl-de-b1p04;Badlauchstaedt;Bad1;1;B;Control;NO;YES;54,54;52,13;2,41;0,04;10,86;10,38;579;0;579;50;1109,83;0;1109,83;12/aug;1/aug;
Bl-de-b2p06;Badlauchstaedt;Bad1;1;A;Zinfrastructurecontrol;NO;NO;49,1;46,6;2,5;0,05;10,67;10,13;205;6;211;25;805,56;23,58;829,14;22/aug;1/aug;
Bl-de-b2p06;Badlauchstaedt;Bad1;1;B;Zinfrastructurecontrol;NO;NO;49,1;46,6;2,5;0,05;11,07;10,51;249;13;262;25;943,1;49,24;992,34;22/aug;1/aug;
Bl-de-b2p07;Badlauchstaedt;Bad1;1;B;Fertilisationxdrought;NO;YES;47,62;47,46;0,16;0;11,16;11,12;73;41;114;50;130,59;73,34;203,93;12/aug;1/aug;
Bl-de-b2p07;Badlauchstaedt;Bad1;1;A;Fertilisationxdrought;NO;YES;47,62;47,46;0,16;0;10,51;10,47;81;0;81;50;153,86;0;153,86;12/aug;1/aug;lable meshbag komt niet overeen met de plot kaart sleutel. Plot kaartsleutel is correct! Hierdoor treatment =/= treatment op de lable
