Label;Location;Site;Plot_replicate;Meshbag_replicate;Treatment;ITEX;NPKD;Hyphal_length_uns;Hyphal_length_sept;Total_hyphal_length
Ki-fi-OTC-5;Kilpisjärvi;Kil1;1;B;OTC;YES;NO;133,78;39,11;172,89
Ko-gl-cont-2;Kobbefjord;Kob1;1;A;Control;YES;NO;252,08;807,39;1059,48
Ko-gl-cont-2;Kobbefjord;Kob1;1;B;Control;YES;NO;183,66;393,04;576,7
Ko-gl-cont-3;Kobbefjord;Kob1;1;A;Control;YES;NO;648,33;766,56;1414,89
Ko-gl-cont-3;Kobbefjord;Kob1;1;B;Control;YES;NO;472,71;532,27;1004,98
Ko-gl-cont-4;Kobbefjord;Kob1;1;A;Control;YES;NO;327,86;469,44;797,3
Ko-gl-cont-4;Kobbefjord;Kob1;1;B;Control;YES;NO;359,59;194,78;554,36
Ko-gl-cont-5;Kobbefjord;Kob1;1;A;Control;YES;NO;261,43;173;434,43
Ko-gl-cont-5;Kobbefjord;Kob1;1;B;Control;YES;NO;149,8;88,34;238,14
Ko-gl-cont-6;Kobbefjord;Kob1;1;A;Control;YES;NO;167,17;301,64;468,81
Ko-gl-cont-6;Kobbefjord;Kob1;1;B;Control;YES;NO;135,14;82,59;217,73
Ko-gl-OTC-2;Kobbefjord;Kob1;1;A;OTC;YES;NO;113,26;314,21;427,47
Ko-gl-OTC-2;Kobbefjord;Kob1;1;B;OTC;YES;NO;302,83;498,57;801,4
Ko-gl-OTC-3;Kobbefjord;Kob1;1;A;OTC;YES;NO;433,91;930,87;1364,78
Ko-gl-OTC-3;Kobbefjord;Kob1;1;B;OTC;YES;NO;219,4;1294,08;1513,48
Ko-gl-OTC-4;Kobbefjord;Kob1;1;A;OTC;YES;NO;238,26;599,37;837,63
Ko-gl-OTC-4;Kobbefjord;Kob1;1;B;OTC;YES;NO;795,5;87,98;883,48
Ko-gl-OTC-5;Kobbefjord;Kob1;1;A;OTC;YES;NO;99,81;125,68;225,49
Ko-gl-OTC-5;Kobbefjord;Kob1;1;B;OTC;YES;NO;44,4;111;155,4
Nr-us-18-XXW;Niwotridge;Niw1;1;A;OTC;YES;NO;500,93;100,19;601,12
Nr-us-18-XXW;Niwotridge;Niw1;1;B;OTC;YES;NO;448,86;124,9;573,76
Nr-us-21-XXW;Niwotridge;Niw1;1;A;OTC;YES;NO;1251,68;24,07;1275,75
Nr-us-21-XXW;Niwotridge;Niw1;1;B;OTC;YES;NO;2905,97;98,04;3004,01
Nr-us-22-XXX;Niwotridge;Niw1;1;A;Control;YES;YES;1390,34;197,51;1587,86
Nr-us-22-XXX;Niwotridge;Niw1;1;B;Control;YES;YES;1301,41;214,48;1515,89
Nr-us-24-XXX;Niwotridge;Niw1;1;A;Control;YES;YES;982,08;179,65;1161,73
