"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"ASV_95" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Cladosporiales" "f__Cladosporiaceae" "g__Cladosporium" NA
"ASV_96" "k__Fungi" NA NA NA NA NA NA
"ASV_97" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Venturiales" "f__Venturiaceae" "g__Venturia" NA
"ASV_98" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Filobasidiales" "f__Piskurozymaceae" "g__Solicoccozyma" "s__terricola"
"ASV_99" "k__Fungi" "p__Ascomycota" "c__Pezizomycetes" "o__Pezizales" "f__Pezizaceae" "g__Peziza" NA
"ASV_100" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Thelebolales" "f__Thelebolales_fam_Incertae_sedis" "g__Thelebolales_gen_Incertae_sedis" NA
"ASV_101" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Fusarium" "s__equiseti"
"ASV_102" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Amphisphaeriales" "f__Sporocadaceae" "g__Truncatella" "s__angustata"
"ASV_103" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymosphaeriaceae" "g__Paraphaeosphaeria" "s__viciae"
"ASV_104" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Bulleribasidiaceae" "g__Dioszegia" "s__patagonica"
"ASV_105" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" "s__pseudozygospora"
"ASV_106" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymellaceae" NA NA
"ASV_107" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Hymenochaetales" "f__Rickenellaceae" "g__Cotylidia" NA
"ASV_108" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Cladosporiales" "f__Cladosporiaceae" "g__Cladosporium" NA
"ASV_109" "k__Fungi" NA NA NA NA NA NA
"ASV_110" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Amphisphaeriales" "f__Sporocadaceae" "g__Truncatella" "s__angustata"
"ASV_111" "k__Fungi" NA NA NA NA NA NA
"ASV_112" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Dictyosporiaceae" NA NA
"ASV_113" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Chaetosphaeriales" "f__Chaetosphaeriaceae" "g__Pseudophialocephala" "s__humicola"
"ASV_114" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Pyrenochaetopsidaceae" "g__Pyrenochaetopsis" "s__confluens"
"ASV_115" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymosphaeriaceae" "g__Pseudopithomyces" "s__chartarum"
"ASV_116" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" "s__simplex"
"ASV_117" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Pezizellaceae" "g__Calycina" "s__languida"
"ASV_118" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Hypocreaceae" "g__Trichoderma" "s__viride"
