GENUS	primary_lifestyle	Secondary_lifestyle	Comment_on_lifestyle_template	Endophytic_interaction_capability_template	Plant_pathogenic_capacity_template	Decay_substrate_template	Decay_type_template	Animal_biotrophic_capacity_template	Specific_hosts	Growth_form_template	Fruitbody_type_template	Hymenium_type_template	Ectomycorrhiza_exploration_type_template	Ectomycorrhiza_lineage_template	primary_photobiont	secondary_photobiont
Sporophlyctidium	algal_parasite	pollen_saprotroph	NA	no_endophytic_capacity	algal_parasite	algal_material,pollen	NA	NA	algae	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Sporophlyctis	algal_parasite	NA	NA	no_endophytic_capacity	algal_parasite	algal_material	NA	NA	algae	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Zygochytrium	algal_parasite	animal_parasite	NA	no_endophytic_capacity	algal_parasite	algal_material,animal_material	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Trematophlyctis	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	Leptodesmia_congesta	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Truittella	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	algae	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Volvorax	algal_parasite	NA	NA	no_endophytic_capacity	algal_parasite	algal_material	NA	NA	algae	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Sparrowia	protistan_parasite	fungal_decomposer	NA	NA	NA	fungal_material,protist_material	NA	NA	oomycetes	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Sphaeromonas	animal_endosymbiont	NA	NA	no_endophytic_capacity	NA	leaf_fruit_seed	NA	animal_endosymbiont	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Tetrachytrium	litter_saprotroph	algal_decomposer	NA	NA	NA	leaf_fruit_seed,algal_material	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Thalassochytrium	algal_ectosymbiont	algal_parasite	NA	NA	algal_parasite	algal_material	NA	NA	red_algae	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Coleospora	animal_parasite	animal_decomposer	NA	no_endophytic_capacity	NA	animal_material	NA	arthropod_parasite	NA	unicellular-aflagellate_(non-yeast)	none	none	NA	NA	NA	NA
Oryctospora	animal_parasite	animal_decomposer	NA	no_endophytic_capacity	NA	animal_material	NA	arthropod_parasite	NA	unicellular-aflagellate_(non-yeast)	none	none	NA	NA	NA	NA
Peltomyces	animal_parasite	animal_decomposer	NA	no_endophytic_capacity	NA	animal_material	NA	arthropod_parasite	NA	unicellular-aflagellate_(non-yeast)	none	none	NA	NA	NA	NA
Polyphagus	algal_parasite	NA	NA	no_endophytic_capacity	algal_parasite	algal_material	NA	NA	algae	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Saccopodium	algal_parasite	NA	NA	no_endophytic_capacity	algal_parasite	algal_material	NA	NA	algae	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Zygophlyctis	algal_parasite	NA	NA	no_endophytic_capacity	algal_parasite	algal_material	NA	NA	algae	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
